0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
31/12/2016,127.05(133.00),99.14(97.65),126.18(128.38)
24/12/2016,134.58(138.43),108.16(80.78),130.11(133.36)
17/12/2016,135.19 (139.13),106.17 (90.37),130.10 (130.32)
10/12/2016,94.43(66.30),104.47(88.55),130.10(127.83)
03/12/2016,137.96(139.41),103.90(85.08),131.58(130.44)
26/11/2016,140.89(144.69),103.00(84.75),133.52(132.99)
19/11/2016,139.68(139.53),102.10(80.62),132.47(127.64)
12/11/2016,141.47(151.57),103.05(84.64),133.61(137.68)
05/11/2016,140.22(139.37),101.95(78.27),131.87(129.13)
29/10/2016,138.22(138.27),105.11(79.37),135.08(128.24)
22/10/2016,144.58(NS),101.82(79.89),134.02(79.89)
15/10/2016,NS(138.10),101.72(81.89),101.72(126.73)
08/10/2016,137.26(138.55),101.20(79.14),129.50(126.56)
01/10/2016,138.78(136.53),101.93(81.22),131.62(125.49)
24/09/2016,139.92 (141.64),101.52 (80.29),132.22 (129.07)
17/09/2016,139.36 (141.75),97.10 (76.26),134.22 (127.61)
10/09/2016,140.71 (143.22),101.14 (72.88),132.77 (129.28)
09/03/2016,141.16 (145.28),99.17 (73.39),132.64 (130.61)
27/08/2016,140.37 (146.89),98.52 (63.37),131.81 (135.22)
20/08/2016,141.48 (147.99),96.75 (74.97),132.05 (133.34)
13/08/2016,143.09 (146.19),93.58 (73.56),131.62 (129.62)
06/08/2016,146.30 (147.66),92.55(71.01),133.18(129.79)
30/07/2016,147.08 (149.78),94.64 (71.02),135.49 (129.21)
23/07/2016,150.26 (150.91),92.60 (71.57),140.00 (130.52)
16/07/2016,155.67 (148.60),94.55 (72.76),143.24 (129.62)
09/07/2016,153.28(146.98),95.71(75.55),141.06(126.69)
02/07/2016,155.54 (145.14),98.20 (75.42),141.65 (124.75)
25/06/2016,154.02 (147.65),100.24 (73.64),139.93 (123.91)
18/06/2016,154.21 (147.08),103.26 (71.92),140.60 (121.93)
11/06/2016,148.93 (143.54),104.27 (70.44),137.19 (116.09)
04/06/2016,145.28 (143.88),102.35 (72.21),133.29 (115.95)
28/05/2016,139.33(145.30),104.19 (71.97),130.36 (114.93)
21/05/2016,137.84 (141.91),103.26 (73.88),128.96 (112.22)
14/05/2016,140.99 (140.71),104.92 (76.64),131.18 (110.52)
07/05/2016,136.69 (142.21),103.49 (78.01),127.68 (113.27)
30/04/2016,139.14 (143.11),102.14 (80.78),127.52 (112.07)
30/04/2016,139.14 (143.11),102.14 (80.78),127.52 (112.07)
30/04/2016,139.14 (143.11),102.14 (80.78),127.52 (112.07)
23/04/2016,146.29 (133.82),100.90 (83.96),131.34 (109.01)
16/04/2016,153.77 (134.48),102.13 (84.59),131.33 (110.02)
09/04/2016,159.09 (127.56),101.62 (84.07),129.65 (104.60)
02/04/2016,133.97 (102.20),101.31 (74.65),113.34 (91.27)
26/03/2016,NS (90.62),89.94 (84.57),89.94 (88.12)
19/03/2016,111.62 (78.45),98.51 (83.77),101.92 (82.30)
12/03/2016,105.35 (87.45),97.84 (83.26),100.21 (86.05)
05/03/2016,102.43 (92.55),101.02 (84.19),101.37 (88.52)
27/02/2016,109.09 (92.01),106.22 (83.98),107.49 (89.79)
20/02/2016,111.90 (99.88),110.31 (84.44),111.26 (95.40)
13/02/2016,111.35 (107.36),111.56 (84.20),111.41 (101.50)
06/02/2016,112.20 (108.89),109.29 (83.31),111.53 (102.60)
30/01/2016,116.26 (117.51),108.12 (83.52),114.56 (109.27)
23/01/2016,120.21 (120.62),102.91 (81.51),116.91 (112.01)
16/01/2016,128.91 (131.32),102.34 (80.90),122.77 (117.74)
09/01/2016,132.67 (126.34),96.65 (77.43),125.75 (115.96)
02/01/2016,133.00 (129.51),97.65 (75.00),128.38 (116.59)
